#,Nome,Sq.,Under,R.,FM,FVMP,P,S
4220,Zambo Anguissa,Napoli,30,C,"8,17",17,2,
2788,Bremer,Juventus,28,D,"7,33",17,1,
7023,Pellegrino M.,Parma,24,A,"5,83",17,,
5562,Thuram K.,Juventus,24,C,"7,5",16,1,
4431,Carnesecchi,Atalanta,25,P,"5,17",16,4,
4463,Esposito Se.,Cagliari,23,A,"5,83",16,,
2816,Di Lorenzo,Napoli,32,D,"6,17",16,1,
2521,De Gea,Fiorentina,35,P,5,15,,
2765,Odgaard,Bologna,26,C,"5,67",14,,
2814,Provedel,Lazio,31,P,5,13,,
2606,Modric,Milan,40,C,"8,17",13,3,
1870,Barella,Inter,28,C,"6,17",13,2,
2061,Simeone,Torino,30,A,"7,33",13,,
4887,Bellanova,Atalanta,25,D,6,13,1,
6215,Lucca,Napoli,25,A,"5,5",12,,
5637,Davis K.,Udinese,27,A,"7,67",12,,
2499,Vardy,Cremonese,38,A,6,12,2,
827,Locatelli,Juventus,27,C,"6,33",12,1,
5520,Cambiaso,Juventus,25,D,"3,5",12,1,
7181,Wesley,Roma,22,D,"6,83",12,2,
133,Skorupski,Bologna,34,P,"5,17",12,5,
6552,Orban G.,Verona,23,A,6,12,,
6844,Rowe,Bologna,22,C,6,12,,
4772,Angelino,Roma,28,D,"5,5",12,,
6956,Solet,Udinese,25,D,"6,33",11,,
6060,Laurientè,Sassuolo,27,A,"5,67",11,,
5422,Zalewski,Atalanta,23,C,8,11,1,
4892,Saelemaekers,Milan,26,C,"6,5",11,2,
5620,Tavares N.,Lazio,25,D,"5,5",11,,
5687,Vlasic,Torino,28,C,"5,83",10,1,
5885,Dodò,Fiorentina,27,D,"6,33",10,,
2724,Buongiorno,Napoli,26,D,"6,75",10,1,
6908,Atta,Udinese,22,C,"7,83",10,,
5589,Konè M.,Roma,24,C,"6,17",10,,
6967,Diao,Como,20,A,0,10,2,
5792,Ederson D.S.,Atalanta,26,C,"5,5",10,,
5273,Estupinan,Milan,27,D,"6,17",10,2,
647,Dzeko,Fiorentina,39,A,5,10,3,
6666,Bernabè,Parma,24,C,"6,33",9,,
6218,Oristanio,Parma,23,C,6,9,,
7128,Kuhn,Como,25,A,6,9,,
6669,Bonny,Inter,22,A,"7,75",9,,
5318,Tramoni M.,Pisa,25,C,"5,67",9,,
6046,Hien,Atalanta,26,D,"4,83",9,,
7179,Israel,Torino,25,P,"4,17",9,,
6646,Adams C.,Torino,29,A,"5,67",9,,
6398,Isaksen,Lazio,24,C,0,9,1,
4433,Zortea,Bologna,26,D,"5,67",9,,
2489,Pedro,Lazio,38,A,"5,83",9,4,
479,Sanabria,Cremonese,29,A,"6,17",9,,
2670,Bailey,Roma,28,C,0,9,,
5877,Carlos Augusto,Inter,26,D,"6,75",9,2,
4923,Colombo,Genoa,23,A,"5,17",8,4,
7133,Vandeputte,Cremonese,29,C,"6,5",8,,
2529,Mkhitaryan,Inter,36,C,"5,67",8,1,
5559,Da Cunha,Como,24,C,"6,17",8,,
5319,Sohm,Fiorentina,24,C,"5,5",8,2,
6966,Butez,Como,30,P,"5,33",8,6,
5561,Stengs,Pisa,27,C,0,8,,
22,De Roon,Atalanta,34,C,"6,17",8,1,
4409,Rrahmani,Napoli,31,D,"6,25",8,,
2593,Martin,Genoa,28,D,"5,83",8,,
7252,Stulic,Lecce,24,A,"5,5",8,,
5685,Koopmeiners,Juventus,27,C,"5,33",8,1,
4686,Fofana Y.,Milan,26,C,"5,67",8,,
188,Leali,Genoa,32,P,"5,83",8,,
